Movie_Name,Year,Run_Time_Minutes,Score,Winner,Nominations,Winners
The Grand Budapest Hotel,2014,99,8.1,False,9,4
Hacksaw Ridge,2016,139,8.1,False,6,2
Blade Runner,1982,117,8.1,False,2,0
Gone Girl,2014,149,8.1,False,1,0
Ratatouille,2007,111,8.1,True,5,1
"Monsters, Inc.",2001,92,8.1,False,4,1
In the Name of the Father,1993,133,8.1,False,7,0
How to Train Your Dragon,2010,98,8.1,False,2,0
Wild Tales,2014,122,8.1,False,1,0
The Gold Rush,1925,95,8.1,False,2,0
Jaws,1975,124,8.1,True,4,3
The Deer Hunter,1978,183,8.1,False,9,5
Ford v Ferrari,2019,152,8.1,True,4,2
Mr. Smith Goes to Washington,1939,129,8.1,False,11,1
On the Waterfront,1954,108,8.1,True,12,8
Wild Strawberries,1957,92,8.1,False,1,0
Logan,2017,137,8.1,False,1,0
Rocky,1976,120,8.1,False,10,3
The Third Man,1949,104,8.1,True,3,1
I'm Still Here,2024,137,8.3,False,3,1
Spotlight,2015,129,8.1,False,6,2
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,False,5,0
Room,2015,118,8.1,True,4,1
Hotel Rwanda,2004,121,8.1,False,3,0
Platoon,1986,120,8.1,False,8,4
The Best Years of Our Lives,1946,170,8.1,True,9,8
Before Sunset,2004,80,8.1,False,1,0
The Exorcist,1973,122,8.1,False,10,2
The Sound of Music,1965,172,8.1,False,10,5
The Wizard of Oz,1939,102,8.1,False,6,2
The Incredibles,2004,115,8.0,True,4,2
Stand by Me,1986,89,8.1,False,1,0
Network,1976,121,8.1,True,10,4
To Be or Not to Be,1942,99,8.1,False,2,0
The Battle of Algiers,1966,121,8.1,False,3,0
The Grapes of Wrath,1940,129,8.1,False,7,2
Into the Wild,2007,148,8.0,False,2,0
The Help,2011,146,8.1,False,4,1
Amores Perros,2000,154,8.0,False,1,0
Rebecca,1940,130,8.1,False,11,2
